Collection Number,File name,Folder Number,Folder Title,Item Title,Text on Back of Photo,notes,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_003,10,"Medical Center Construction, 1962","UCLA medical center with the construction complete and a full parking lot, 1960",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_004,10,"Medical Center Construction, 1962","A completed UCLA medical center with cars parked in the street out front, 1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_005,10,"Medical Center Construction, 1962","A completed UCLA medical center with cars parked in the street out front, 1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_006,10,"Medical Center Construction, 1962","A completed UCLA medical center with cars parked in the street out front, 1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_007,10,"Medical Center Construction, 1962","UCLA medical center with dirt surrounding the place, 1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_008,10,"Medical Center Construction, 1962","A completed UCLA medical center with parks parked in the street out front, 1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_009,10,"Medical Center Construction, 1962","Part of the UCLA medical center under construction, 1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_010,10,"Medical Center Construction, 1962","A completed UCLA medical center, 1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_011,10,"Medical Center Construction, 1962","A completed UCLA medical center, 1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_012,10,"Medical Center Construction, 1962","Part of the UCLA medical center close to completion, still standing on dirt and with work trucks parked around it, 1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_013,10,"Medical Center Construction, 1962","A completed UCLA medical center with cars parked around it, 1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_014,10,"Medical Center Construction, 1962","UCLA medical center with cars parked in the parking lot, 1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_015,10,"Medical Center Construction, 1962","UCLA medical center with cars parked in the parking lot, 1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_016,10,"Medical Center Construction, 1962","UCLA medical center with cars parked in front after construction recently ended, 1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_017,10,"Medical Center Construction, 1962","UCLA medical center with dirt surrounding the place, 1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_018,10,"Medical Center Construction, 1962","UCLA medical center with cars parked in the parking lot, 1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_011_004,11,Medical Center cornerstone laying ceremony  1951 Nov.,"UCLA Medical Center cornerstone laying ceremony, ca. November 1951",November 1951 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_011_005,11,Medical Center cornerstone laying ceremony  1951 Nov.,"Earl Warren and Stafford Warren at UCLA Medical Center cornerstone laying ceremony, ca. November 1951","left Earl Warren  right Stafford Warren   1951  Laying of cornerstone [UCLA Medical Center]  California Governor Earl Warren (left) and Stafford L. Warren (right), 1951.  Laying of cornerstone ceremony, UCLA Medical School and hospital.  Source: UCLA University Archives  Record Series 745",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_011_006,11,Medical Center cornerstone laying ceremony  1951 Nov.,"Robert G Sproul,  Governor Earl Warren, Dean Stafford Warren, Regent Edward A Dickson (with wrench)  at UCLA Medical School dedication, November 2, 1951","L to R: Pres. Robt G Sproul,  Governor Earl Warren, Dean Stafford Warren, Regent Edward A Dickson (with wrench)  Medical School dedication  Photo 22  Return to: John Jackson UCLA Publications Service  200 Physical Plant Bldg. ""B"" Campus  Nov. 2, 1951","CORNERSTONE CEREMONIES for the new Medical School were given a modern touch when Chairman of the Regents Edward A. Dickson, aided by Governor Earl Warren (left) and Medical School Dean Stafford Warren, bolted a 30-foot steel column to a special face plate.  <- April 1962/UCLA Alumni Magazine ",,,,,,,,,,,,,,,,,,,,,,,,,,
